Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
BD88;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.821.528;6.482;379.273.237;-25.016
BD89;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.288.749;6.251;441.801.716;-25.024
BD108;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;36.704.546;8.381;304.955.654;-24.501
BD131;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;26.230.805;3.227;334.446.446;-23.645
BD132;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;0.7419989;4.996;141.772.487;-25.673
BD140;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;10.531.843;4.822;331.344.936;-24.335
BD195;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;11.404.403;1.782;206.894.546;-25.699
BD115;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;35.582.502;3.152;471.346.127;-25.837
BD121;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;23.479.171;2.139;464.111.605;-26.777
BD123;Curillo;Fish_stomach_content;NA;Allochthonous insects;NA;24.647.461;1.45;283.709.685;-26.55
BD127;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;10.734.203;4.856;255.605.066;-25.739
BD142;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;0.8428133;3.592;299.616.938;-24.416
BD143;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;26.692.009;5.29;246.853.437;-25.108
BD145;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;0.9495155;3.9;265.776.005;-25.528
BD147;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;11.802.291;3.66;362.793.009;-25.644
BD151;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;14.521.664;6.057;261.675.102;-25.529
BD156;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;0.875604;3.922;203.611.889;-24.855
BD202;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;24.041.519;3.144;362.621.732;-25.691
BD204;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;16.808.434;3.133;232.697.762;-25.753
BD205;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;0.7462357;11.973;198.214.974;-25.608
BD209;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;0.9249106;4.118;265.499.397;-24.473
BD2;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;109.211.114;0.231;428.533.562;-30.972
BD9;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;83.754.937;5.018;365.845.357;-28.17
BD59;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;29.389.471;0.528;335.370.338;-28.048
BD51;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;20.356.092;3.376;493.387.055;-24.704
BD70;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;76.561.635;4.787;46.704.513;-25.618
BD75;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;16.975.293;3.978;425.965.323;-24.768
BD130;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;50.122.917;6.285;644.983.273;-24.654
BD180;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;13.468.381;5.914;314.699.371;-24.386
BD67;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;40.797.745;5.128;335.661.271;-26.051
BD69;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;120.485.153;5.239;46.473.474;-27.138
BD159;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;44.329.485;10.142;293.216.091;-26.016
BD161;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;71.157.672;3.464;449.784.149;-28.1
