Code,Municipality,Species,Trophic_guild,Group,THg,NT,d15N,CT,d13C,Entity_key
BD96,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,85.668.186,6.389,47.740.917,-26.108,Allochthonous insects
BD77,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,22.791.241,5.32,418.952.943,-24.138,Allochthonous insects
BD37,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,20.473.373,1.987,324.431.919,-24.786,Allochthonous insects
Mf01-ISO,Mecaya,Brazuelo vegetado (Pasto aleman),NA,Macrophytes,NA,16.043.175,2.712,216.187.762,-13.404,Macrophytes
Mf02- ISO,Mecaya,Entrada a Pe?as Blancas,NA,Macrophytes,NA,22.705.446,3.39,253.259.416,-12.377,Macrophytes
Mf03-ISO,Mecaya,"Ca?o/lago Pto Pr?ncipe (zona macrofita c3, parecida a Azolla)",NA,Macrophytes,NA,21.242.719,5.788,200.944.675,-28.543,Macrophytes
Mf04-ISO,Mecaya,Desembocadura ca?o/lago pto pr?ncipe (Echinocloa cf colonum c4,NA,Macrophytes,NA,0.4277628,2.744,232.435.818,-26.884,Macrophytes
Mf05-ISO,Mecaya,Ca?o pe?as blancas (Azolla),NA,Macrophytes,NA,27.398.149,-0.263,202.059.138,-31.825,Macrophytes
Mf06-ISO,Mecaya,Ca?o peterumbe (Pistia stratiotes),NA,Macrophytes,NA,20.300.879,4.565,19.088.797,-30.58,Macrophytes
Mf07-ISO,Curillo,Laguna Fidelicia (Pistia stratiotes),NA,Macrophytes,NA,26.755.401,4.456,220.711.635,-29.039,Macrophytes
Mf08-ISO,Curillo,Laguna Fidelicia (cogida por don anoraldo) NN2,NA,Macrophytes,NA,15.166.855,2.943,199.877.956,-28.291,Macrophytes
Mf09-ISO,Curillo,Humedal colegio la pradera NN1 (era como un cuerno de alce peque?o),NA,Macrophytes,NA,26.130.292,7.898,245.580.976,-11.658,Macrophytes
Mf10-ISO,Curillo,Humedal colegio la pradera (Ceratopteris pteroides),NA,Macrophytes,NA,48.937.001,7.411,182.462.102,-28.109,Macrophytes
Mf11-ISO,Curillo,Humedal colegio la pradera (Lemna minor),NA,Macrophytes,NA,18.908.765,10.307,204.188.249,-30.834,Macrophytes
Mf12-ISO,Curillo,Humedal colegio la pradera (Lemna),NA,Macrophytes,NA,22.505.072,9.997,224.824.455,-30.212,Macrophytes
Mf13-ISO,Curillo,Laguna Fidelicia (Eichornnia crassipes),NA,Macrophytes,NA,15.646.704,4.369,243.447.324,-28.992,Macrophytes
Mf14- ISO,San Antonio de Getucha,R?o Orteguaza (Oriza),NA,Macrophytes,NA,0.5725518,3.458,214.601.702,-26.466,Macrophytes
Mf15-ISO,San Antonio de Getucha,Tramo r?o Orteguaza (Pasto C4),NA,Macrophytes,NA,33.787.568,3.641,237.465.706,-27.413,Macrophytes
Mf16-ISO,Curillo,Laguna Fidelicia (como una lenteja grande y con pubescencia),NA,Macrophytes,NA,19.618.938,3.182,215.777.388,-30.196,Macrophytes
MF17-ISO,Mecaya,Punto 1,NA,Macrophytes,NA,22.300.842,5.337,211.646.832,-29.5,Macrophytes
MF18-ISO,Mecaya,Punto 2,NA,Macrophytes,NA,27.153.366,2.895,247.478.435,-31.186,Macrophytes
MF19-ISO,Mecaya,Punto 1,NA,Macrophytes,NA,0.9084909,3.611,19.449.883,-28.339,Macrophytes
MF20-ISO,Mecaya,Punto 1,NA,Macrophytes,NA,18.419.543,0.403,218.593.283,-33.136,Macrophytes
MF21-ISO,Mecaya,Punto 1,NA,Macrophytes,NA,35.764.976,3.956,242.413.742,-32.934,Macrophytes
MF22-ISO,Mecaya,Punto 1,NA,Macrophytes,NA,21.960.656,-1.079,220.998.447,-34.926,Macrophytes
MF23-ISO,Mecaya,Punto 2,NA,Macrophytes,NA,14.492.943,2.379,211.852.921,-30.75,Macrophytes
MF24-ISO,Mecaya,Punto 3,NA,Macrophytes,NA,36.511.885,4.964,232.385.165,-30.026,Macrophytes
MF26-ISO,Mecaya,Punto 2,NA,Macrophytes,NA,13.903.983,-1.456,210.933.931,-34.968,Macrophytes
MF27-ISO,Mecaya,Punto 2,NA,Macrophytes,NA,17.197.848,0.012,1.995.631,-34.725,Macrophytes
MF28-ISO,Mecaya,Punto 3,NA,Macrophytes,NA,21.923.093,3.802,197.401.813,-30.471,Macrophytes
MF29-ISO,Curillo,Punto 1,NA,Macrophytes,NA,0.9769227,6.473,229.498.866,-28.448,Macrophytes
MF30-ISO,Curillo,Punto 1,NA,Macrophytes,NA,19.119.071,5.697,199.785.804,-29.54,Macrophytes
MF31-ISO,Curillo,Punto 1,NA,Macrophytes,NA,24.465.346,5.259,241.944.327,-16.121,Macrophytes
MF32-ISO,Curillo,Punto 2 Laguna peque?a,NA,Macrophytes,NA,22.178.504,6.34,220.149.875,-29.733,Macrophytes
MF33-ISO,Curillo,Punto 1,NA,Macrophytes,NA,25.679.883,4.044,240.565.376,-27.699,Macrophytes
MF34-ISO,Curillo,Punto 1,NA,Macrophytes,NA,13.969.741,3.5,210.868.556,-30.448,Macrophytes
MF35-ISO,Curillo,Punto 2,NA,Macrophytes,NA,18.194.006,6.479,225.925.873,-12.189,Macrophytes
MF36-ISO,Curillo,Punto 2 Laguna de la Cocha,NA,Macrophytes,NA,14.152.916,5.008,227.316.604,-29.941,Macrophytes
MF37-ISO,Curillo,Punto 1,NA,Macrophytes,NA,29.711.412,4.032,202.714.164,-27.008,Macrophytes
BD119,Curillo,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,17.859.555,3.368,309.116.479,-24.86,Aquatic macroinvertebrates
