Group,Trophic_guild,Species,n,mean_d13C,sd_d13C,mean_d15N,sd_d15N,mean_THg,sd_THg,n_THg
Fish,Omnivore,Pimelodus blochii,4,-27.65,0.6776921621700127,8.885,0.8274660113865705,0.1498475,0.0726987606565614,4
Fish,Omnivore,Platydoras costatus,1,-26.65,NA,8.67,NA,0.0761,NA,1
Fish,Primary Consumer,Aphanotorulus unicolor,3,-27.513333333333332,2.2881943390659227,7.3966666666666665,0.10503967504392486,0.053066666666666665,0.028194384783735454,3
Fish,Primary Consumer,Liposarcus sp,1,-29.98,NA,7.02,NA,0.0165,NA,1
Fish,Primary Consumer,Odontostilbe fugitiva,1,-29.88,NA,8.69,NA,0.0716,NA,1
Fish,Primary Consumer,Panaque nigrolineatus,1,-28.65,NA,8.29,NA,0.00782,NA,1
Fish,Primary Consumer,Parodon pongoensis,1,-30.12,NA,8.75,NA,0.0361,NA,1
Fish,Primary Consumer,Piaractus brachypomus,1,-22.57,NA,6.2,NA,0.0386,NA,1
Fish,Primary Consumer,Potmorhina latior,1,-35.29,NA,9.97,NA,0.0856,NA,1
Fish,Primary Consumer,Prochilodus rubrotaeniatus,12,-32.81583333333333,3.3383895364336515,7.571666666666666,0.6163652006773749,0.07350966666666667,0.029540407910439416,12
Fish,Primary Consumer,Serrapinnus sp,2,-30.37,1.7677669529663689,9.97,0.8343860018001259,0.088505,0.025321493834290273,2
Fish,Primary Consumer,Steindachnerina argentea,1,-37.97,NA,9.34,NA,0.0156,NA,1
Fish,Primary Consumer,Steindachnerina guentheri,2,-32.12,1.3152186130069754,7.915,0.007071067811865324,0.0315,0.01131370849898476,2
Fish,Primary Consumer,Steindachnerina sp,1,-37.54,NA,8.64,NA,0.0959,NA,1
Macrophytes,NA,Brazuelo vegetado (Pasto aleman),1,-13.404,NA,2.712,NA,NA,NA,0
Macrophytes,NA,Ca?o pe?as blancas (Azolla),1,-31.825,NA,-0.263,NA,NA,NA,0
Macrophytes,NA,Ca?o peterumbe (Pistia stratiotes),1,-30.58,NA,4.565,NA,NA,NA,0
Macrophytes,NA,"Ca?o/lago Pto Pr?ncipe (zona macrofita c3, parecida a Azolla)",1,-28.543,NA,5.788,NA,NA,NA,0
Macrophytes,NA,Desembocadura ca?o/lago pto pr?ncipe (Echinocloa cf colonum c4,1,-26.884,NA,2.744,NA,NA,NA,0
Macrophytes,NA,Entrada a Pe?as Blancas,1,-12.377,NA,3.39,NA,NA,NA,0
Macrophytes,NA,Humedal colegio la pradera (Ceratopteris pteroides),1,-28.109,NA,7.411,NA,NA,NA,0
Macrophytes,NA,Humedal colegio la pradera (Lemna minor),1,-30.834,NA,10.307,NA,NA,NA,0
Macrophytes,NA,Humedal colegio la pradera (Lemna),1,-30.212,NA,9.997,NA,NA,NA,0
Macrophytes,NA,Humedal colegio la pradera NN1 (era como un cuerno de alce peque?o),1,-11.658,NA,7.898,NA,NA,NA,0
Macrophytes,NA,Laguna Fidelicia (Eichornnia crassipes),1,-28.992,NA,4.369,NA,NA,NA,0
Macrophytes,NA,Laguna Fidelicia (Pistia stratiotes),1,-29.039,NA,4.456,NA,NA,NA,0
Macrophytes,NA,Laguna Fidelicia (cogida por don anoraldo) NN2,1,-28.291,NA,2.943,NA,NA,NA,0
Macrophytes,NA,Laguna Fidelicia (como una lenteja grande y con pubescencia),1,-30.196,NA,3.182,NA,NA,NA,0
Macrophytes,NA,Punto 1,11,-28.91809090909091,4.92479200483727,3.7484545454545453,2.254174543536341,NA,NA,0
Macrophytes,NA,Punto 2,5,-28.7636,9.467893656986226,2.0618,3.036572525068354,NA,NA,0
Macrophytes,NA,Punto 2 Laguna de la Cocha,1,-29.941,NA,5.008,NA,NA,NA,0
Macrophytes,NA,Punto 2 Laguna peque?a,1,-29.733,NA,6.34,NA,NA,NA,0
Macrophytes,NA,Punto 3,2,-30.2485,0.31466251762801384,4.383,0.8216580797387685,NA,NA,0
Macrophytes,NA,R?o Orteguaza (Oriza),1,-26.466,NA,3.458,NA,NA,NA,0
Macrophytes,NA,Tramo r?o Orteguaza (Pasto C4),1,-27.413,NA,3.641,NA,NA,NA,0
